Lunch_Rice_full,Lunch_Soup_,,Lunch_Main_Dish,Lunch_Main_Dish_Kcal,Lunch_Side_Dish_1,Lunch_Side_Dish_1_Kcal,Lunch_Side_Dish_2,Lunch_Side_Dish_2_Kcal,Lunch_Drink,Lunch_Drink_Kcal,Lunch_Kimchi,Lunch_Kimchi_Kcal,Lunch_side_Dish_3,Lunch_side_Dish_3_Kcal,Dinner_Rice,Dinner_Rice_Kcal,Dinner_Soup,Dinner_Soup_Kcal,Dinner_Main_Dish,Dinner_Main_Dish_Kcal,Dinner_Side_Dish_1,Dinner_Side_Dish_1_Kcal,Dinner_Side_Dish_2,Dinner_Side_Dish_2_Kcal,Dinner_Side_Dish_3,Dinner_Side_Dish_3_Kcal,Dinner_Drink,Dinner_Drink_Kcal,Dinner_Kimchi,Dinner_Kimchi_Kcal,,Lunch_Rice,Lunch_Rice_Kcal,,Lunch_Soup,Lunch_Soup_Kcal
"쌀밥/잡곡밥,210 kcal","오징어찌개,250 kcal",,쇠불고기,300 kcal,계란찜,150 kcal,청포묵무침,50,요구르트,100,포기김치,30,양상추샐러드*딸기요거트,80,쌀밥/잡곡밥,200,육개장,180,자반고등어구이,330,두부조림,200,건파래무침,30,바나나,90,음료,80,포기김치,30,,쌀밥/잡곡밥,210 kcal,,오징어찌개,250 kcal
"카레덮밥,380 kcal","김치찌개,280 kcal",,가자미튀김,450 kcal,모둠소세지구이,320 kcal,마늘쫑무침,50,부럼/요구르트,120,배추겉절이,25,양상추샐러드*오리엔탈,90,콩나물밥*양념장,250,어묵국,120,유산슬,250,아삭고추무침,100,새송이버섯볶음,50,요플레,100,매실쥬스/단무지,80,깍두기,25,,카레덮밥,380 kcal,,김치찌개,280 kcal
"낙지비빔밥,559 kcal","팽이장국,150 kcal",,치킨핑거,420 kcal,쫄면야채무침,250 kcal,견과류조림,180,요플레,120,깍두기,30,요구르트,70,미니김밥*겨자장,150,청국장찌개,250,황태양념구이,300,고기전,300,무피클,10,오렌지,60,천도복숭아,60,석박지,25,,낙지비빔밥,559 kcal,,팽이장국,150 kcal
"쌀밥/오곡밥,220 kcal","쇠고기무국,200 kcal",,주꾸미볶음,280 kcal,부추전,200 kcal,시금치나물,30,매실주스,70,무생채/포기김치,30,양상추샐러드*흑임자드레싱,100,참치회덮밥,450,우동,400,멕시칸샐러드,180,군고구마,180,콩나물무침,40,피크닉,150,딸기와플,200,통배추겉절이,20,,쌀밥/오곡밥,220 kcal,,쇠고기무국,200 kcal
"비빔밥,586 kcal","떡국,220 kcal",,돈육씨앗강정,400 kcal,우엉잡채,180 kcal,청경채무침,30,음료,70,열무김치,20,그린샐러드*오렌지드레싱/핫도그,150,볶음밥*자장소스,550,차돌박이찌개,300,닭갈비,350,감자소세지볶음,250,락교,15,참나물생채,30,주스,80,포기김치/무피클,30,,비빔밥,586 kcal,,떡국,220 kcal
"곤드레밥,240 kcal","시래기국,180 kcal",,훈제오리구이,350 kcal,도토리묵무침,120 kcal,쌈무/양파절임,20,오렌지주스,90,볶은김치,40,매실음료/콩자반,90,김밥,300,맑은국,100,군만두,200,과일샐러드,150,물파래무침,30,두반장가지나물,40,간장깻잎지/콘샐러드,50,열무김치,20,,곤드레밥,240 kcal,,시래기국,180 kcal
"콩나물밥*달래장,280 kcal","꽃게탕,300 kcal",,돈육굴소스볶음,320 kcal,옥수수전,180 kcal,유채나물,30,샐러드바:과일,50,석박지,30,시저샐러드*시저드레싱,120,멸치주먹밥,180,김치콩나물국,120,미니함박,250,어묵볶음,200,브로컬리초장,35,꼬들단무지,15,요구르트,100,오이소박이,15,,콩나물밥*달래장,280 kcal,,꽃게탕,300 kcal
"봄새싹비빔밥,320 kcal","시금치국,120 kcal",,닭감자조림,300 kcal,연두부*양념장,100 kcal,콩나물무침,30,크리스마스케익,250,포기김치/상추쌈,35,양상추샐러드/마카로니샐러드,130,카레덮밥,500,홍합미역국,150,등갈비김치찜,400,임연수구이,280,봄동무침,25,시금치나물,30,귤,60,배추겉절이,20,,봄새싹비빔밥,320 kcal,,시금치국,120 kcal
"콩나물밥,250 kcal","냉이된장국,130 kcal",,탕수어,450 kcal,오징어숙회무침,150 kcal,취나물,30,식혜,70,파김치,35,비타민흑임자샐러드*흑임자D,100,볶음밥,500,된장찌개,220,쇠불고기,300,해파리겨자채,120,부추오이생채,30,취나물땅콩무침,40,시금치흑임자샐러드,50,알타리김치,25,,콩나물밥,250 kcal,,냉이된장국,130 kcal
"나물비빔밥,373 kcal","유부장국,200 kcal",,쇠고기장조림,320 kcal,통도라지구이,160 kcal,치커리무침,30,조각케익,200,갓김치,30,치커리만다린샐러드*오렌지D,90,토마토스파게티,480,설렁탕,600,명태조림,280,,,미역레몬초무침,25,세발나물,30,연근흑임자샐러드,50,봄동겉절이,20,,나물비빔밥,373 kcal,,유부장국,200 kcal
"단호박영양밥,310 kcal","대구찌개,260 kcal",,마늘간장치킨,450 kcal,고구마치즈구이,250 kcal,해초무침,20,식혜,70,베추겉절이,25,양상추샐러드*망고D,80,굴소스파인볶음밥,520,옹심이만두국,350,김치전,250,감자채볶음,200,숙주나물,30,요플레/단무지,100,망고주스,80,단무지,10,,단호박영양밥,310 kcal,,대구찌개,260 kcal
"산채비빔밥,350 kcal","쇠고기느타리국,210 kcal",,갈치구이,350 kcal,새송이버섯볶음,120 kcal,돌나물무침/치킨무,40,고구마치즈빵/오렌지,180,얼갈이겉절이,25,양배추샐러드*사우전D,90,햄볶음밥,500,콩비지찌개,250,떡갈비조림,300,야채스틱,50,청경채사과무침,35,참나물,30,,,해파리냉채,15,,산채비빔밥,350 kcal,,쇠고기느타리국,210 kcal
"열무비빔밥,360 kcal","콩나물국,100 kcal",,돈육간장볶음,320 kcal,호박꼬지&고사리&무나물,110 kcal,파래김*양념장,50,청포도,60,오이소박이,20,그린샐러드*키위D/타래과,85,주먹밥,150,열무된장국,150,해물까스&타르타르소스,400,청포묵무침,100,구이김,10,시금치초장무침,35,,,무생채,10,,열무비빔밥,360 kcal,,콩나물국,100 kcal
"참치회덮밥,450 kcal","북어계란국,180 kcal",,소세지피망볶음,280 kcal,버섯잡채,150 kcal,꽃상추무침,20,오미자주스,80,부럼/포기김치,40,로스트치킨샐러드*오리엔탈D,150,김치볶음밥,520,잔치국수,450,매운돼지갈비찜,400,볶음쌀국수,350,양념깻잎지,35,날치알계란찜,120,,,배추김치,20,,참치회덮밥,450 kcal,,북어계란국,180 kcal
"연복풍덮밥,430 kcal","수제비국,250 kcal",,닭갈비,300 kcal,맛탕,200 kcal,귤,50,요거트드링킹,120,수제석박지,30,양배추샐러드*요플레D,85,치킨마요덮밥,550,닭개장,180,교자만두,200,멸치호두볶음,180,부추생채,30,사과/오렌지쥬스,80,,,겉절이김치,20,,연복풍덮밥,430 kcal,,수제비국,250 kcal
"열무보리비빔밥,370 kcal","얼갈이된장국,150 kcal",,오징어볶음,280 kcal,새싹두부구이,100 kcal,곰피초장,30,홍삼,50,배추김치,30,양배추샐러드*딸기요거트D,80,낙지비빔밥,480,오징어국,150,꽁치한마리구이,330,멕시칸샐러드,200,오이무침,20,부추생채,30,,,백김치,15,,열무보리비빔밥,370 kcal,,얼갈이된장국,150 kcal
"불고기덮밥,540 kcal","쇠고기미역국,200 kcal",,제육볶음,320 kcal,늙은호박전,180 kcal,도라지초무침,30,망고/복숭아아이스티,100,백김치,20,양상추샐러드*사우전D,90,돈까스김밥,400,달래된장찌개,220,수제고로케*케찹,220,,,야채스틱*쌈장,50,또띠아칩/오렌지,150,,,갓김치/겉절이김치,25,,불고기덮밥,540 kcal,,쇠고기미역국,200 kcal
"산채비빔밥*강된장,400 kcal","근대된장국,180 kcal",,탕수육,500 kcal,맛살계란말이,200 kcal,치커리생채,25,청/적포도,60,오이소배기,20,견과류샐러드*땅콩D,150,유부초밥,180,계란파국,150,생선까스*탈탈소스,400,두부양념조림,220,돌나물초장,25,시금치무침,30,,,,,,산채비빔밥*강된장,400 kcal,,근대된장국,180 kcal
"짜장밥,500 kcal","부대찌개,350 kcal",,고등어김치말이,300 kcal,새송이버섯조림,120 kcal,아삭고추무침,20,황도샐러드,70,부추무침,50,눈꽃치즈샐러드*오리엔탈D,130,새우살볶음밥,520,뼈해장국,500,개성감자만두,200,,,두반장가지나물,40,슈크림,200,,,,,,짜장밥,500 kcal,,부대찌개,350 kcal
"버섯영양밥,300 kcal","차돌박이찌개,330 kcal",,돈육장조림,320 kcal,메추리알조림,150 kcal,무생채,20,과일,50,겉절이김치,25,콜리샐러드*발사믹D,80,짜장잡채밥,550,양송이스프,180,코다리무조림,280,고추잡채*꽃빵,350,시금치나물,30,참나물무침,30,,,,,,버섯영양밥,300 kcal,,차돌박이찌개,330 kcal
"소불고기덮밥,520 kcal","북어국,180 kcal",,닭데리야끼조림,300 kcal,모둠묵*양념장,120 kcal,열무된장나물,35,치커리유자샐러드,50,총각김치,30,시리얼샐러드*요플레D,120,날치알볶음밥,520,닭곰탕,550,간장찜닭,350,통도라지구이,200,청경채무침,30,아삭고추무침,25,,,,,,소불고기덮밥,520 kcal,,북어국,180 kcal
"오곡밥,230 kcal","고추장찌개,280 kcal",,수제돈가스,450 kcal,소세지구이,300 kcal,톳두부무침,50,사과/마시는요거트,100,쌈추겉절이,20,양상추샐러드*파인애플D,80,충무김밥,350,수제비국,400,참치야채전,200,꽃맛살샐러드,180,도라지나물,35,방울토마토,15,,,,,,오곡밥,230 kcal,,고추장찌개,280 kcal
"곤드레밥*강된장,330 kcal","배추된장국,150 kcal",,돈육고추장볶음,320 kcal,홍어무침,120 kcal,풋마늘초무침,25,꽃맛살과일샐러드,80,삼색물만두무침,120,푸실리파스타샐러드,150,김밥/맑은국,400,알탕,300,해물청경채볶음,250,버섯메밀전,250,깨찰빵,120,도라지나물,35,,,,,,곤드레밥*강된장,330 kcal,,배추된장국,150 kcal
"봄나물비빔밥,340 kcal","어묵국,200 kcal",,소불고기,300 kcal,해물파전,220 kcal,쫄면무침,180,인절미츄러스맛탕/배즙,150,(New)수제토마토청에이드,80,그린샐러드*오리엔탈D,90,작은밥/맑은국,220,미소장국,120,미니햄버거,250,단호박범벅,200,애호박나물,30,쨔샤이무침,40,,,,,,봄나물비빔밥,340 kcal,,어묵국,200 kcal
"카레라이스,480 kcal","쑥국,120 kcal",,미니채소떡갈비,320 kcal,탕평채,150 kcal,콩나물파채무침,40,파인애플/요플레,100,무생채,25,황도샐러드*밀감D,80,볶음밥/짜장소스,550,냉이된장찌개,220,임연수찜,250,어묵곤약볶음,180,오이피클,15,연두부*새싹장,50,,,,,,카레라이스,480 kcal,,쑥국,120 kcal
"짜장덮밥,520 kcal","콩나물김치국,130 kcal",,버섯불고기,280 kcal,모둠양채쌈*쌈장,50 kcal,마늘쫑볶음,60,해초샐러드/사과즙,50,(New)수제생강대추차,70,사과푸딩샐러드*요플레D,120,콩나물밥,200,유부장국,150,아귀콩나물찜,220,새송이버섯볶음,180,숙주미나리나물,30,숙주나물,30,,,,,,짜장덮밥,520 kcal,,콩나물김치국,130 kcal
"<초복특식>,600 kcal","사골우거지국,300 kcal",,코다리강정,400 kcal,골뱅이무침*소면,250 kcal,무나물,25,탱크보이,70,청경채찜,20,나쵸콥샐러드*토마토살사소스,180,카레라이스,500,쇠고기미역국,200,찹쌀순대볶음,250,궁중떡찜,300,청경채생채,30,무피클,10,,,,,,<초복특식>,600 kcal,,사골우거지국,300 kcal
"김치제육덮밥,550 kcal","쇠고기샤브국,250 kcal",,치킨텐더*요거트D,430 kcal,두부계란부침,200 kcal,깻순나물,30,찐옥수수,120,산고추지무침,30,마카로니콘샐러드,140,작은밥,150,매운버섯국,180,동그랑땡전,180,마파두부,280,치커리사과무침,25,양배추쌈,20,,,,,,김치제육덮밥,550 kcal,,쇠고기샤브국,250 kcal
"곤드레밥*간장양념,320 kcal","맑은국,100 kcal",,자반고등어구이,350 kcal,파래김*양념장,50 kcal,쌈무/부추생채,30,수떡수떡화채,150,봄동겉절이,20,크루통샐러드*참깨D,110,김밥볶음밥,550,쇠고기무국,200,누룽지탕수육,400,콘샐러드,150,돌나물오이무침,25,주꾸미무침,40,,,,,,곤드레밥*간장양념,320 kcal,,맑은국,100 kcal
"단호박카레라이스,470 kcal","닭개장,320 kcal",,오징어튀김,450 kcal,연근땅콩조림,180 kcal,도토리묵무침,60,츄러스,150,콩샐러드,80,양상추샐러드*매실D,80,콩국수,400,유부주머니국,150,돈육씨앗강정,350,해물까스*탈탈소스,400,가지된장무침,40,마늘쫑무침,40,,,,,,단호박카레라이스,470 kcal,,닭개장,320 kcal
"곤드레밥*양념장,310 kcal","옹심이만두국,280 kcal",,갈치조림,320 kcal,계란말이,200 kcal,실곤약초무침,20,우무콩국,80,단호박물김치,40,시리얼&요거트,120,굴소스해물볶음밥,520,팽이버섯장국,120,또띠아피자,300,해초무침,100,다시마채무초무침,30,상추겉절이,25,,,,,,곤드레밥*양념장,310 kcal,,옹심이만두국,280 kcal
"삼계탕,550 kcal","쪽파국,120 kcal",,오징어볶음*소면,350 kcal,두부&김치볶음,180 kcal,시래기나물,30,바나나,90,,,모닝샌드/요구르트,250,쇠고기숙주규동덮밥,550,들깨미역국,200,순살깐풍기,350,계란찜,180,매운콩나물무침,40,수박,40,,,,,,삼계탕,550 kcal,,쪽파국,120 kcal
"콩나물밥*양념장,290 kcal","매운콩나물국,150 kcal",,매운돼지갈비찜,400 kcal,땅콩조림,200 kcal,열무나물,30,딸기푸딩,120,청경채찜,,견과류샐러드*딸기D,150,통새우김밥,400,꽃게탕,250,고등어조림,280,탕평채,220,열무된장나물,35,오이도라지생채,30,,,,,,콩나물밥*양념장,290 kcal,,매운콩나물국,150 kcal
"마파두부덮밥,520 kcal","버섯들깨탕,200 kcal",,순살양념치킨,450 kcal,오징어초무침,150 kcal,치커리유자청생채,35,나쵸칩,150,산고추지무침,,양상추샐러드*석류D,80,나가사키면&김,600,팽이버섯국,120,감자치즈구이,220,조각사과,50,채소피클*할라피뇨,40,스틱단무지,15,,,,,,마파두부덮밥,520 kcal,,버섯들깨탕,200 kcal
"쌀밥/옛날돈까스,600 kcal","순두부찌개,230 kcal",,쇠고기단호박조림,320 kcal,비엔나볶음,220 kcal,오렌지,60,열대과일,70,봄동겉절이,,황도샐러드*황도D,80,옛날왕돈까스,700,비빔메밀국수,450,찜닭,350,계란야채말이,200,치커리무침,25,치커리유자무침,25,,,,,,쌀밥/옛날돈까스,600 kcal,,순두부찌개,230 kcal
"야채볶음밥*짜장소스,520 kcal","올갱이아욱국,180 kcal",,돈육강정,400 kcal,해파리냉채,80 kcal,봄동나물,30,사과나무주스,90,콩샐러드,,꽃맛살샐러드,100,낙지볶음덮밥,480,들깨버섯탕,220,야채튀김,250,단무지무침,50,양념고추지무침,30,단무지,15,,,,,,야채볶음밥*짜장소스,520 kcal,,올갱이아욱국,180 kcal
"김치볶음밥,500 kcal","냉이된장찌개,140 kcal",,꽁치한마리구이,350 kcal,새송이버섯전,180 kcal,모둠쌈*쌈장,40,햇고구마오븐구이,120,단호박물김치,,그린샐러드*요거트D,85,생선초밥,350,북어국,150,가자미찜,250,견과류조림,180,노각무침,25,브로컬리초장,35,,,,,,김치볶음밥,500 kcal,,냉이된장찌개,140 kcal
"오므라이스,550 kcal","육개장,350 kcal",,매콤떡갈비조림,320 kcal,알감자버터구이,200 kcal,양배추쌈,20,사과/식혜,80,,,양상추샐러드*딸기D,80,후난식볶음밥,520,부대찌개*라면사리,550,수제돈가스,400,감자범벅,200,부추생채무침,30,오이피클/음료,30,,,,,,오므라이스,550 kcal,,육개장,350 kcal
"김치볶음밥/계란,520 kcal","대구매운탕,300 kcal",,쇠고기볶음,300 kcal,동태전,180 kcal,브로컬리두부무침,60,인절미,100,,,양상추샐러드*키위D,80,해물굴소스볶음밥,520,가쯔오국,120,새싹피자,300,새송이버섯전,250,참나물무침,30,미역줄기,35,,,,,,김치볶음밥/계란,520 kcal,,대구매운탕,300 kcal
"파인애플볶음밥,490 kcal","미소장국,90 kcal",,등갈비김치찜,400 kcal,브로컬리맛살볶음,120 kcal,부추생채,25,찹쌀호떡,180,,,그린샐러드*살구D,85,마파두부덮밥,550,팽이장국,120,닭볶음탕,350,쫄면무침,300,꼬시래기초무침,25,파래김*양념장,25,,,,,,파인애플볶음밥,490 kcal,,미소장국,90 kcal
"김치필라프,500 kcal","미역국,150 kcal",,돈간장불고기,320 kcal,모둠소시지구이,320 kcal,청경채생채,25,배도라지주스,80,,,양상추샐러드*참깨D,90,김치참치주먹밥,180,해물순두부찌개,250,해물까스*탈탈소스,400,모둠묵*양념장,150,돈나물오리엔탈무침,35,슈크림/단무지,200,,,,,,김치필라프,500 kcal,,미역국,150 kcal
"불고기비빔밥,540 kcal","돈육김치찌개,300 kcal",,궁중떡찜,320 kcal,두부조림,120 kcal,깻잎양념지,35,(New)수제단호박식혜,90,,,양상추샐러드*오리엔탈D,90,쇠고기덮밥,550,쌀국수,400,탕수어,400,오이무침,50,얼갈이된장무침,30,우엉조림,80,,,,,,불고기비빔밥,540 kcal,,돈육김치찌개,300 kcal
"김밥볶음밥,480 kcal","무채국,100 kcal",,양념파닭,450 kcal,무쌈/양파절임,40 kcal,버섯볶음,50,푸딩,120,,,시리얼샐러드*요거트D,120,날치알김치볶음밥,520,시래기국,150,쇠고기퀘사디아,400,비엔나케찹볶음,250,짜사이볶음,40,토마토,20,,,,,,김밥볶음밥,480 kcal,,무채국,100 kcal
"고기듬뿍카레라이스,600 kcal","매운어묵국,200 kcal",,미트볼조림,320 kcal,열무나물,30 kcal,풋마늘대무침,30,핫도그,250,,,과일샐러드,80,참치야채비빔밥,480,열무물국수,400,가쯔오장국,50,탕수만두,400,고춧잎무침,30,도토리묵무침,40,,,,,,고기듬뿍카레라이스,600 kcal,,매운어묵국,200 kcal
"건강비빔밥*약고추장,410 kcal","시래기된장국,160 kcal",,모둠장조림,350 kcal,도라지초무침,100 kcal,유기농식혜,70,단감,60,,,양상추샐러드*오미자D,80,베이컨김치볶음밥,520,냉모밀국수,400,고추잡채*꽃빵,320,두부계란구이,220,가지나물,35,단무지/또띠아칩,100,,,,,,건강비빔밥*약고추장,410 kcal,,시래기된장국,160 kcal
"새우날치알볶음밥,500 kcal","오징어국,220 kcal",,돈육칠리강정,400 kcal,콩나물잡채,150 kcal,콩자반/치킨무,80,고구마오븐구이,120,,,요거트파르페,150,해물볶음밥,520,소고기미역국,200,고추장불고기,350,모듬양채쌈,100,청경채겉절이,30,청경채겉절이,30,,,,,,새우날치알볶음밥,500 kcal,,오징어국,220 kcal
"소고기콩나물밥*양념,480 kcal","된장찌개,250 kcal",,찜닭,350 kcal,고기전,220 kcal,치커리사과무침,35,(New)수제사과계피차,70,,,시금치샐러드*오리엔탈D,85,나가사끼짬뽕,600,호박잎찌개,220,탕수육,400,삼치구이,280,상추무침,25,양배추피클/음료,30,,,,,,소고기콩나물밥*양념,480 kcal,,된장찌개,250 kcal
"닭살카레라이스,520 kcal","감자고추장찌개,260 kcal",,닭오븐구이,350 kcal,청포묵무침,120 kcal,비름나물,25,꽈배기도넛,200,,,양상추샐러드*살구D,80,닭갈비볶음밥,550,비빔국수,450,수제미니햄버거,250,오이소박이,50,숙주나물/요구르트,40,김구이,10,,,,,,닭살카레라이스,520 kcal,,감자고추장찌개,260 kcal
"열무보리비빔밥/강된장,400 kcal","들깨버섯탕,210 kcal",,쇠고기불고기,300 kcal,연근조림,150 kcal,가지나물,40,귤,50,,,만다린샐러드*오렌지D,80,야채볶음밥,500,토마토스파게티,480,가자미튀김,300,모둠소시지구이,350,생깻잎지,35,오이지,15,,,,,,열무보리비빔밥/강된장,400 kcal,,들깨버섯탕,210 kcal
"베이컨김치볶음밥,520 kcal","열무된장국,150 kcal",,꼬지삼색전,300 kcal,김치전,200 kcal,통도라지구이,50,나쵸,150,,,크루통샐러드*오리엔탈D,110,꼬마김밥*겨자장,150,김치찌개,250,해물누룽지탕,400,감자만두,300,도라지오이초무침,35,단무지무침,15,,,,,,베이컨김치볶음밥,520 kcal,,열무된장국,150 kcal
"돈육버섯고추장덮밥,550 kcal","북어콩나물국,180 kcal",,닭양념조림,320 kcal,치즈계란말이,250 kcal,치커리유자생채,35,미니버거,200,,,겉절이김치/양념장,25,소고기주먹밥,180,계란국,120,코다리강정,350,치즈계란말이,250,땅콩멸치조림,90,콩나물무침,40,,,,,,돈육버섯고추장덮밥,550 kcal,,북어콩나물국,180 kcal
"비빔밥*약고추장,390 kcal","한방갈비탕,400 kcal",,누룽지탕수육,450 kcal,동그랑땡부침,220 kcal,숙주나물,25,라면땅,100,,,양상추샐러드*오렌지D,80,빠에야,520,김치말이국수,350,주꾸미볶음,220,마늘쫑무침,100,미역줄기볶음,35,찐옥수수,100,,,,,,비빔밥*약고추장,390 kcal,,한방갈비탕,400 kcal
"쌀밥/흑미밥/찰현미밥,220 kcal","미역장국,120 kcal",,순살깐풍기,430 kcal,고등어카레구이,350 kcal,불미나리무침,30,홍시,60,,,감자고구마샐러드,120,목살필라프,550,차돌박이된장찌개,300,사천식탕수육,400,잡채,300,부추팽이버섯생채무침,35,온두부,50,,,,,,쌀밥/흑미밥/찰현미밥,220 kcal,,미역장국,120 kcal
"쌀밥/치자밥/찰현미밥,220 kcal","쇠고기해장국,320 kcal",,돼지갈비찜,400 kcal,맛살겨자채,120 kcal,오이무침,20,수제과일잼샌드,180,,,양상추샐러드*유자D,80,김치주먹밥,180,시금치국,150,꽁치허브구이,330,두부계란부침,220,시금치초고추장무침,35,츄러스/참외,200,,,,,,쌀밥/치자밥/찰현미밥,220 kcal,,쇠고기해장국,320 kcal
"쌀밥/병아리콩밥/찰현미밥,230 kcal","강된장찌개,250 kcal",,떡갈비조림,320 kcal,온두부,100 kcal,고구마순나물,35,붕어빵,200,,,양상추샐러드*밀감D,80,산채비빔밥,480,함박스테이크,700,데리야끼파닭,350,군만두,350,모둠튀김(만두*고추*통계란),200,가지나물,35,,,,,,쌀밥/병아리콩밥/찰현미밥,230 kcal,,강된장찌개,250 kcal
"쌀밥/기장밥/찰현미밥,220 kcal","오이미역냉국,80 kcal",,가자미양념찜,320 kcal,멸치크랜베리볶음,180 kcal,오이도라지생채,30,오프룻요거트,120,,,양상추샐러드*자몽D,80,낙지덮밥,480,부대찌개,500,고구마치즈구이,220,메추리알조림,200,건파래볶음,35,메밀비빔국수,250,,,,,,쌀밥/기장밥/찰현미밥,220 kcal,,오이미역냉국,80 kcal
"낙지비빔밥*계란후라이,600 kcal","참치김치찌개,270 kcal",,레몬탕수육,450 kcal,꽃맛살볶음,120 kcal,머위대나물,35,겉절이김치,20,,,양상추샐러드*포도D,80,볶음밥*짜장소스,550,쇠고기샤브국,250,춘권*칠리소스,250,콩나물무침,50,청양해물파전,300,타코야끼,150,,,,,,낙지비빔밥*계란후라이,600 kcal,,참치김치찌개,270 kcal
